page,country,rev_id,ores_score,Geography,Population mid-2018 (millions),_merge
William Downes Griffith,Cape Colony,731908828,Start,,,left_only
List of Presidents of the Regional Council of Martinique,Martinique,732059763,Stub,,,left_only
Neil Walter,Tokelauan,732100626,Start,,,left_only
Presidents of the Regional Council of French Guiana,French Guiana,732283076,Stub,,,left_only
André Lesueur,Martinique,732488768,Stub,,,left_only
Clovis Kabongo Malemba,"Congo, Dem. Rep. of",733051797,Stub,,,left_only
Daniel Aka Ahizi,Ivorian,733596387,Stub,,,left_only
Rodrigo Ávila,Salvadoran,733791467,Start,,,left_only
Interior Minister of the Palestinian National Authority,Palestinian Territory,734366909,C,,,left_only
Lisbeth L. Petersen,Faroese,734668075,C,,,left_only
Karel Domin,Czech Republic,735174171,Start,,,left_only
Bamba Mamadou,Ivorian,735408389,Stub,,,left_only
Símun av Skarði,Faroese,735578210,Stub,,,left_only
Mario Aguiñada Carranza,Salvadoran,736491718,Start,,,left_only
Harry Struben,South African Republic,736854878,Start,,,left_only
Vincent Floissac,Saint Lucian,736890123,Start,,,left_only
George Odlum,Saint Lucian,736890129,GA,,,left_only
Philippe de Carteret II,Jersey,737014330,Start,,,left_only
Patrice Nisbett,Saint Kitts and Nevis,737165159,Stub,,,left_only
Ashley Greenwood,Montserratian,737169369,Start,,,left_only
Samiha Khalil,Palestinian Territory,737316891,Start,,,left_only
John Sweet Distin,Cape Colony,737348283,Start,,,left_only
François Nicéphore Kakese,"Congo, Dem. Rep. of",737533634,Stub,,,left_only
Jean-Étienne Antoinette,French Guiana,737536891,Stub,,,left_only
Hubert Ripka,Czech Republic,737562321,Stub,,,left_only
João Viegas Carrascalão,East Timorese,737687072,Start,,,left_only
Tangaroa Tangaroa,Cook Island,737975585,Start,,,left_only
David Rodríguez Rivera,Salvadoran,738362225,Start,,,left_only
Imil Jarjoui,Palestinian Territory,738485209,Stub,,,left_only
Mihael Preiss,Carniolan,738955897,Stub,,,left_only
Lealailepule Rimoni Aiafi,Samoan,738999542,Start,,,left_only
Va'ai Papu Vailupe,Samoan,739170575,Start,,,left_only
Palusalue Fa’apo II,Samoan,739170586,Start,,,left_only
Tolofuaivalelei Falemoe Lei’ataua,Samoan,739170620,Start,,,left_only
A'eau Peniamina,Samoan,739170646,Start,,,left_only
Patu Ativalu,Samoan,739170663,Stub,,,left_only
Charles Antrobus,Saint Vincent and the Grenadines,739296460,Stub,,,left_only
Abu Zakaria al-Jamal,Palestinian Territory,740251014,Stub,,,left_only
Mustafa al-Khalidi,Palestinian Territory,740562507,Stub,,,left_only
Sua Sulu'ape Paulo II,Samoan,740773350,C,,,left_only
Connétable (Jersey and Guernsey),Jersey,740998059,Start,,,left_only
Carlos Ezeta,Salvadoran,741190933,Start,,,left_only
Samir Ghawshah,Palestinian Territory,741240899,Start,,,left_only
Tomáš Eduard Šilinger,Czech Republic,741588720,Stub,,,left_only
Louis Henri de Gueydon,Martinique,741659376,Start,,,left_only
Karel Lavrič,Carniolan,741794691,C,,,left_only
Petr Janyška,Czech Republic,741798984,Stub,,,left_only
Gunnar Martens,Greenlandic,742150479,Stub,,,left_only
Andrés Ignacio Menéndez,Salvadoran,742279612,Stub,,,left_only
Abraham Alvarenga Urbina,Hondura,742298045,Stub,,,left_only
Alan J. H. Maclean,Jersey,742413962,Stub,,,left_only
Raymond Ramazani Baya,"Congo, Dem. Rep. of",742707920,Stub,,,left_only
Lyndon Trott,Guernsey,742737553,Stub,,,left_only
Fuad Kokaly,Palestinian Territory,742810698,Stub,,,left_only
